LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24604-16761   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24605-10047   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24605-10047   Pod didn't trigger scale-up:
1s          Normal    BackOff             pod/swebench-run-24606-1268    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-19040"
1s          Warning   Failed              pod/swebench-run-24606-1268    Error: ImagePullBackOff
11s         Normal    BackOff             pod/swebench-run-24607-8352    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13128"
4m58s       Warning   Failed              pod/swebench-run-24607-8352    Error: ImagePullBackOff
8s          Normal    BackOff             pod/swebench-run-24608-12430   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13028"
4m57s       Warning   Failed              pod/swebench-run-24608-12430   Error: ImagePullBackOff
4m13s       Normal    BackOff             pod/swebench-run-24609-1635    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-12419"
4m53s       Warning   Failed              pod/swebench-run-24609-1635    Error: ImagePullBackOff
8s          Normal    BackOff             pod/swebench-run-24610-3098    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11734"
4m55s       Warning   Failed              pod/swebench-run-24610-3098    Error: ImagePullBackOff
4m1s        Normal    BackOff             pod/swebench-run-24611-734     Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13449"
4m52s       Warning   Failed              pod/swebench-run-24611-734     Error: ImagePullBackOff
3m49s       Normal    BackOff             pod/swebench-run-24612-31730   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15732"
4m43s       Warning   Failed              pod/swebench-run-24612-31730   Error: ImagePullBackOff
2s          Normal    BackOff             pod/swebench-run-24613-21260   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sphinx-doc__sphinx-9281"
4m46s       Warning   Failed              pod/swebench-run-24613-21260   Error: ImagePullBackOff
3m55s       Normal    BackOff             pod/swebench-run-24614-13137   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13794"
4m35s       Warning   Failed              pod/swebench-run-24614-13137   Error: ImagePullBackOff
3m58s       Normal    BackOff             pod/swebench-run-24615-10322   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15022"
4m31s       Warning   Failed              pod/swebench-run-24615-10322   Error: ImagePullBackOff
3m48s       Normal    BackOff             pod/swebench-run-24616-17345   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-24443"
4m38s       Warning   Failed              pod/swebench-run-24616-17345   Error: ImagePullBackOff
4m          Normal    BackOff             pod/swebench-run-24617-16460   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:scikit-learn__scikit-learn-12973"
4m38s       Warning   Failed              pod/swebench-run-24617-16460   Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24618-23385   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24618-23385   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24619-23610   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24619-23610   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24620-3921    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24620-3921    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24621-28987   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24621-28987   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24622-15409   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24622-15409   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24623-8721    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24623-8721    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24624-8500    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24624-8500    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24625-11834   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24625-11834   Pod didn't trigger scale-up:
3m44s       Warning   FailedScheduling    pod/swebench-run-24626-18412   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24626-18412   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24627-30000   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24627-30000   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24628-3764    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24628-3764    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24629-4334    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24629-4334    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24630-14655   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24630-14655   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24631-2754    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24631-2754    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24632-4887    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24632-4887    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24633-20561   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24633-20561   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24634-17028   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24634-17028   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24635-29091   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24635-29091   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24636-9800    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24636-9800    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24637-16956   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24637-16956   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24638-17340   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24638-17340   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24639-22341   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24639-22341   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24640-6104    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24640-6104    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24641-30224   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24641-30224   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24642-26944   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24642-26944   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24643-17130   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24643-17130   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24644-14564   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24644-14564   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24645-520     0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24645-520     Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24646-32608   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24646-32608   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24647-10838   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24647-10838   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24648-22089   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24648-22089   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24649-30096   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24649-30096   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24650-30348   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24650-30348   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24651-14261   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24651-14261   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24652-32424   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24652-32424   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24653-18110   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24653-18110   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24654-15193   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24654-15193   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24655-30530   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24655-30530   Pod didn't trigger scale-up:
3s          Normal    BackOff             pod/swebench-run-24656-26031   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11211"
4m51s       Warning   Failed              pod/swebench-run-24656-26031   Error: ImagePullBackOff
3s          Normal    BackOff             pod/swebench-run-24657-25874   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-13112"
4m56s       Warning   Failed              pod/swebench-run-24657-25874   Error: ImagePullBackOff
4m13s       Normal    BackOff             pod/swebench-run-24658-3365    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-14500"
4m53s       Warning   Failed              pod/swebench-run-24658-3365    Error: ImagePullBackOff
4s          Normal    BackOff             pod/swebench-run-24659-29030   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-11477"
4m55s       Warning   Failed              pod/swebench-run-24659-29030   Error: ImagePullBackOff
2s          Normal    BackOff             pod/swebench-run-24660-14309   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-16612"
4m47s       Warning   Failed              pod/swebench-run-24660-14309   Error: ImagePullBackOff
1s          Normal    BackOff             pod/swebench-run-24661-3260    Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sympy__sympy-19637"
4m42s       Warning   Failed              pod/swebench-run-24661-3260    Error: ImagePullBackOff
0s          Normal    BackOff             pod/swebench-run-24662-20806   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:sphinx-doc__sphinx-9230"
4m42s       Warning   Failed              pod/swebench-run-24662-20806   Error: ImagePullBackOff
4m2s        Normal    BackOff             pod/swebench-run-24663-11071   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:scikit-learn__scikit-learn-25232"
4m43s       Warning   Failed              pod/swebench-run-24663-11071   Error: ImagePullBackOff
3m58s       Normal    BackOff             pod/swebench-run-24664-18161   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-15851"
4m34s       Warning   Failed              pod/swebench-run-24664-18161   Error: ImagePullBackOff
3m52s       Normal    BackOff             pod/swebench-run-24665-24254   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:matplotlib__matplotlib-22865"
4m32s       Warning   Failed              pod/swebench-run-24665-24254   Error: ImagePullBackOff
3m56s       Normal    BackOff             pod/swebench-run-24666-24856   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:django__django-14493"
4m34s       Warning   Failed              pod/swebench-run-24666-24856   Error: ImagePullBackOff
3m55s       Normal    BackOff             pod/swebench-run-24667-20533   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:matplotlib__matplotlib-21568"
4m33s       Warning   Failed              pod/swebench-run-24667-20533   Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24668-5988    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24668-5988    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24669-24573   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24669-24573   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24670-7159    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24670-7159    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24671-15330   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24671-15330   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24672-28393   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24672-28393   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24673-23361   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24673-23361   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24674-22510   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24674-22510   Pod didn't trigger scale-up:
3m25s       Normal    BackOff             pod/swebench-run-24675-27009   Back-off pulling image "us-central1-docker.pkg.dev/bsalmon-gke-dev/test-repo/sweperf:astropy__astropy-7336"
3m36s       Warning   Failed              pod/swebench-run-24675-27009   Error: ImagePullBackOff
3m43s       Warning   FailedScheduling    pod/swebench-run-24676-22318   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24676-22318   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24677-8594    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24677-8594    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24678-8518    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24678-8518    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24679-3190    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
6s          Normal    NotTriggerScaleUp   pod/swebench-run-24679-3190    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24680-29776   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24680-29776   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24681-31817   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24681-31817   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24682-30841   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24682-30841   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24683-25779   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24683-25779   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24684-2494    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24684-2494    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24685-1276    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24685-1276    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24686-23791   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24686-23791   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24687-24271   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24687-24271   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24688-7782    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24688-7782    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24689-13127   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24689-13127   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24690-26462   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24690-26462   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24691-11322   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24691-11322   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24692-7758    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24692-7758    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24693-11504   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24693-11504   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24694-4094    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24694-4094    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24695-15478   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24695-15478   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24696-24931   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24696-24931   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24697-16702   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24697-16702   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24698-4330    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24698-4330    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24699-4762    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
5m1s        Normal    NotTriggerScaleUp   pod/swebench-run-24699-4762    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24700-15897   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24700-15897   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24701-1117    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24701-1117    Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24702-19545   0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24702-19545   Pod didn't trigger scale-up:
3m43s       Warning   FailedScheduling    pod/swebench-run-24703-8618    0/1 nodes are available: 1 Too many pods. no new claims to deallocate, preemption: 0/1 nodes are available: 1 No preemption victims found for incoming pod.
4m51s       Normal    NotTriggerScaleUp   pod/swebench-run-24703-8618    Pod didn't trigger scale-up:
